location_id,latitude,longitude,country,city
1,-63.302408,-6.721735,Dominican Republic,Arroyoton
2,-59.3462305,119.208388,San Marino,North Elizabethshire
3,77.451903,106.722873,Gambia,North Peterborough
4,-44.577669,-106.446605,Austria,South Garyberg
5,-43.645994,168.322808,Zimbabwe,North Amandatown
6,61.585541,156.780233,Kenya,Port Christopher
7,-76.007848,-127.031881,Madagascar,North Joseph
8,-86.860736,13.301273,Heard Island and McDonald Islands,West Colin
9,-17.0703915,93.731181,Iraq,South Crystal
10,84.701661,138.889811,Slovenia,Meganhaven
11,-45.27658,52.350211,Morocco,Everettton
12,9.11476,117.906684,Western Sahara,Danielleshire
13,-42.232483,174.672581,Moldova,South Devinchester
14,-15.892451,-99.268272,Cape Verde,Ramseyside
15,1.6232385,9.237544,France,East Damonhaven
16,-89.50643,171.05302,Northern Mariana Islands,South Douglasberg
17,16.991123,45.205045,Uganda,South Peterberg
18,-28.5835835,128.115186,Bhutan,Lake Dennis
19,-46.8797405,-164.611496,Turks and Caicos Islands,Port Alyssa
20,-79.1155595,-141.136394,Luxembourg,Petersborough
21,-22.9755885,-142.175899,Myanmar,West Ronniemouth
22,-54.4688555,-86.813003,Greenland,Jamieland
23,57.074416,84.958633,Saudi Arabia,West Melanie
24,-12.599824,15.599367,Chile,Hollyborough
25,85.155657,142.520055,Aruba,East Timothyside
26,59.7567855,-100.433656,Korea,East Derek
27,-55.695479,-117.522789,Thailand,Carrollshire
28,-55.08117,-165.693492,Greece,East Heather
29,79.4908135,57.204916,Morocco,South Stephenburgh
30,-13.4886575,-106.900828,Senegal,East Krista
31,75.2628175,-46.350847,Korea,West Jacobmouth
32,76.98359,-47.759486,Belarus,Bakershire
33,-18.9876665,71.238323,United States of America,Cruzland
34,-35.7259655,-108.957513,Trinidad and Tobago,West Davidstad
35,-79.76006,-64.367385,Cuba,East Feliciahaven
36,-43.0433215,-53.783222,Niue,East Johnmouth
37,5.522734,126.175035,Jamaica,South Debra
38,19.06152,152.960642,Liberia,Adamland
39,77.042401,5.684489,Costa Rica,Choiview
40,-39.732479,68.706649,Congo,North Michelle
41,8.98912,-35.114438,Estonia,New Christinaberg
42,50.0912295,-64.791508,Turkmenistan,Matthewton
43,-60.5649365,144.783081,Zimbabwe,Port Brendashire
44,-15.17293,46.304356,Sri Lanka,East Shawn
45,63.769526,-41.572493,South Africa,Port Christopherborough
46,-56.6318275,-122.600423,Madagascar,Harrishaven
47,-22.1452025,138.199529,Kuwait,North Lisamouth
48,9.0792175,16.606227,French Southern Territories,Taylorshire
49,9.2496205,-172.649716,Netherlands,Port Linda
50,-33.199624,169.759863,Italy,Tonyatown
51,-9.505931,-91.944222,Indonesia,Shawfort
52,-13.611383,39.177945,Nicaragua,North Derek
53,41.2863465,69.525707,Mongolia,North Matthewfort
54,-58.4980135,146.666378,Cayman Islands,Port Kimberlyberg
55,18.200763,121.349468,Congo,Marychester
56,7.332546,-20.099956,Zimbabwe,Brookefurt
57,-56.4397275,115.042355,Saint Martin,Romeroshire
58,27.7337925,-91.452079,Bhutan,New Zachary
59,57.985694,45.710298,Croatia,Deanton
60,-3.008963,98.910029,Ghana,South Jeffland
61,56.4157715,-72.339862,Taiwan,Lake Amber
62,-86.286289,136.089227,Kenya,New Emilychester
63,48.4391055,-132.917339,Cocos (Keeling) Islands,Adriantown
64,37.8161785,-84.410297,Ethiopia,West Sean
65,70.788025,-145.184545,Tajikistan,West Louis
66,79.266383,-46.649135,Puerto Rico,Sherifort
67,2.616714,27.964316,Croatia,North Brooketon
68,-37.701384,45.309969,Uzbekistan,Jenniferside
